惠公	1
元妃	1
孟子	1
孟子	2
卒	2
繼室	3
以	3
聲子	3
生	4
隱公	4
宋武公	5
生	5
仲子	5
仲子	6
生	6
而	6
有	6
文	6
在	6
其	6
手	6
曰	7
爲	7
魯夫人	7
故	8
仲子	8
歸	8
于	8
我	8
生	9
桓公	9
而	9
惠公	9
薨	9
是	10
以	10
隱公	10
立	10
而	10
奉	10
之	10
元年	11
春	11
王周	12
正月	12
不	13
書	13
卽位	13
攝	14
也	14
三月	15
公	16
及	16
邾儀父	16
盟	16
于	16
蔑	16
邾子	17
克	17
也	17
未	18
王命	18
故	19
不	19
書	19
爵	19
曰	20
儀父	21
貴	22
之	22
也	22
公	23
攝位	23
而	23
欲	23
求好	23
於	23
邾	23
故	24
爲	24
蔑	24
之	24
盟	24
夏	25
四月	25
費伯	26
帥	26
師	26
城	26
郎	26
不	27
書	27
非	28
公命	28
也	28
初	29
鄭武公	30
娶	30
于	30
申	30
曰	31
武姜	31
生	32
莊公	32
及	32
共叔段	32
莊公	33
寤生	33
驚	34
姜氏	34
故	35
名	35
曰	35
寤生	35
遂	36
惡	36
之	36
愛	37
共叔段	37
欲	38
立	38
之	38
亟	39
請	39
於	39
武公	39
公	40
弗	40
許	40
及	41
莊公	41
卽位	41
爲	42
之	42
請	42
制	42
公	43
曰	43
制	44
巖	45
邑	45
也	45
虢叔	46
死	46
焉	46
佗	47
邑	47
唯	47
命	47
請	48
京	48
使	49
居	49
之	49
謂	50
之	50
京城大叔	50
祭仲	51
曰	51
都	52
城	52
過	52
百	52
雉	52
國	53
之	53
害	53
也	53
先王	54
之	54
制	54
大	55
都	55
不	56
過	56
參	56
國	56
之	56
一	56
中	57
五	58
之	58
一	58
小	59
九	60
之	60
一	60
今	61
京	61
不	61
度	61
非	62
制	62
也	62
君	63
將	63
不	63
堪	63
公	64
曰	64
姜氏	65
欲	65
之	65
焉	66
辟	66
害	66
對	67
曰	67
姜氏	68
何	68
厭	68
之	68
有	68
不如	69
早	69
爲	69
之	69
所	69
無	70
使	70
滋蔓	70
蔓	71
難	72
圖	72
也	72
蔓草	73
猶	73
不	73
可	73
除	73
況	74
君	74
之	74
寵弟	74
乎	74
公	75
曰	75
多	76
行	76
不義	76
必	77
自斃	77
子	78
姑	78
待	78
之	78
旣	79
而	79
大叔	79
命	79
西鄙	79
北鄙	80
貳	80
於	80
己	80
公子吕	81
曰	81
